"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
122662,"75cac1",1122,"lle plus que trente-cinq heures en tous les cas en","s","k","t",1,0,0,"y","s","k","t",,,,
122671,"75cac1",1122,"4t au reste de l’Europe mais.","t","d","l",0,0,3,"y","t","d","l",,,,
122672,"75cac1",422,"rapport au reste de l’Europe mais.","s","t","d",1,0,0,"y","s","t","d",,,,
122676,"75cac1",122,"nq heures ce qui finalement est pas beaucoup par rappo","R","s","k",1,1,0,"n","R","s","k",,,,
122680,"75cac1",1122,"travaillent que trente-cinq heures ce qui finale","j","k","t",4,0,0,"y","j","k","t","*",,,
122708,"75cac1",1122,"1 travaille je travaille beaucoup. E : Hum hum. AC : Et puis","j","ʒ","t",4,1,0,"n","j","ʒ","t","*",,,
122725,"75ccb2",422,"i j’avais tout juste dix-sept.","s","t","d",1,0,0,"y","s","t","d",,"s","t","d"
122727,"75ccb2",1422,"uh non parce que moi j’avais tout juste dix-sept.","s","k","m",1,0,2,"y","s","k","m",,,,
122729,"75ccb2",1422,": Non parce que moi j’avais euh non parce que moi j’avais","s","k","m",1,0,2,"y","s","k","m",,"s","k","m"
122735,"75ccb2",1322,"CB : On est deve nu enfin euh. (X) avait dix-huit.","d","v","n",0,1,2,"n","d","v","n","devenu (not ""deve nu"")",,,
122744,"75ccb2",1122,"à que je me suis fait des potes du quartier.","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
122750,"75ccb2",1122,"CB : Ben je me suis dit ’ben ça a l’air cool j’y vais’","ʒ","m","s",1,2,1,"n","ʒ","m","s",,"ʒ","m","s"
122764,"75ccb2",1322,"il est reve nu à dix-huit heures il nous a so","R","v","n",1,1,2,"n","R","v","n","revenu (not ""reve nu"")",,,
122772,"75ccb2",1422,"es parce que mon papa voulait l’emmener au scout il vo","s","k","m",1,0,2,"y","s","k","m",,"s","k","m"
122777,"75ccb2",1122,"une crise de larmes.","z","d","l",1,0,3,"y","z","d","l",,,,
122784,"75ccb2",1422,"nchait parce que mes/ mes/ mes frangins avaient adoré.","s","k","m",1,0,2,"y","s","k","m",,"s","k","m"
122789,"75ccb2",1122,"0 commence le scout à huit ans et moi ça me branc","s","l","s",1,3,1,"n","s","l","s",,,,
122794,"75ccb2",1422,"2 rap/ parce que mes grands frères avaient fait du scoutisme","s","k","m",1,0,2,"y","s","k","m",,,,
122802,"75ccm1",422,"CM : Analyste financier sur les actions.","s","t","f",1,0,1,"y","s","t","f",,,,
122810,"75ccm1",1122,"e secteur de la technologie, donc des sociétés qui font","R","d","l",1,0,3,"y","R","d","l",,,,
122813,"75ccm1",122,"isais ça sur le secteur de la technologie, donc des s","R","l","s",1,3,1,"n","R","l","s",,,,
